エントリー日,エントリー価格,決済日,決済価格,ポジションタイプ,数量,損益,エントリーRCI,エントリーADX,シグナル理由,決済理由
2020-03-06,1358.800048828125,2020-03-09,1299.0,SHORT,100,5980,-96.66666666666666,32.0457132006025,"RCI-:SELL(strength=96.7, +DI=15.9, -DI=44.4)",利益目標額達成(5980円)
2020-03-10,1320.0,2020-03-12,1261.800048828125,SHORT,100,5820,-95.0,38.81954452082141,"RCI-:SELL(strength=95.0, +DI=12.3, -DI=47.4)",利益目標額達成(5820円)
2020-03-13,1216.800048828125,2020-03-17,1272.0,SHORT,100,-5520,-93.33333333333333,49.33772430959163,"RCI-:SELL(strength=93.3, +DI=13.3, -DI=52.1)",stop_loss
2020-03-18,1263.4000244140625,2020-03-19,1279.0,SHORT,100,-1560,-70.0,58.378494031069636,"RCI-:SELL(strength=70.0, +DI=23.1, -DI=35.8)",トレーリングストップ(4.0%)
2020-06-08,1433.4000244140625,2020-06-11,1381.0,LONG,100,-5240,76.66666666666666,30.054582337962994,"RCI+:BUY(strength=76.7, +DI=42.1, -DI=18.6, +DI/-DI=2.26 >= 1.20)",RCI傾き利確(-30.0度)
2020-08-14,1436.199951171875,2020-08-18,1435.199951171875,LONG,100,-100,95.0,30.562083655552875,"RCI+:BUY(strength=95.0, +DI=42.7, -DI=22.7, +DI/-DI=1.88 >= 1.20)",RCI傾き利確(-13.5度)
2020-08-19,1439.0,2020-08-20,1416.800048828125,LONG,100,-2220,55.00000000000001,30.845605696046125,"RCI+:BUY(strength=55.0, +DI=36.2, -DI=24.3, +DI/-DI=1.49 >= 1.20)",RCI傾き利確(-42.0度)
2020-11-27,1450.4000244140625,2020-11-30,1399.800048828125,SHORT,100,5060,-66.66666666666667,34.75997413795485,"RCI-:SELL(strength=66.7, +DI=24.0, -DI=24.2)",利益目標額達成(5060円)
2020-12-01,1403.5999755859375,2020-12-04,1436.199951171875,SHORT,100,-3260,-64.99999999999999,32.651577147725035,"RCI-:SELL(strength=65.0, +DI=19.9, -DI=28.9)",RCI傾き利確(13.5度)
2020-12-09,1469.800048828125,2020-12-11,1564.0,LONG,100,9420,51.66666666666666,31.321302683666694,"RCI+:BUY(strength=51.7, +DI=26.3, -DI=20.5, +DI/-DI=1.29 >= 1.20)",利益目標額達成(9420円)
